@relation data
@attribute Feature_0 numeric
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute class {0,1}
@data
7.0,30.045,3.39679,1.0,0
7.0,27.4592,5.69752,1.0,0
3.0,10.431,5.94752,3.0,0
10.0,12.0094,2.1597,3.0,0
8.0,16.2141,15.9551,3.0,0
10.0,10.0516,47.4311,3.0,0
12.0,11.426,471.557,6.0,0
12.0,11.676,616.917,2.0,0
12.0,10.4973,736.746,6.0,0
12.0,10.6429,1120.18,3.0,0
12.0,10.2995,1503.16,2.0,0
12.0,11.0336,1920.53,1.0,0
12.0,0.0,1920.53,1.0,0
12.0,14.6659,1969.04,2.0,0
12.0,20.9861,11.3506,3.0,0
12.0,22.6975,89.7846,2.0,0
7.0,11.8563,4.04782,2.0,0
8.0,11.0274,29.6856,3.0,0
12.0,13.2501,57.1335,3.0,0
12.0,0.0,77.6189,6.0,0
12.0,11.6269,78.8378,5.0,0
5.0,0.0,85.6697,6.0,0
12.0,0.0,241.279,6.0,0
7.0,10.2297,422.101,3.0,0
12.0,12.1798,1086.75,2.0,0
8.0,10.1673,1851.64,2.0,0
7.0,29.4493,2.37596,12.0,0
6.0,10.0858,11.3506,1.0,0
5.0,10.1054,11.4804,2.0,0
9.0,14.9326,13.8423,12.0,0
4.0,10.1565,19.2732,12.0,0
3.0,10.2787,22.6951,12.0,0
3.0,10.3477,23.3238,12.0,0
3.0,10.2831,26.1634,12.0,0
3.0,10.126,27.018,12.0,0
4.0,10.3553,28.5185,12.0,0
5.0,10.1928,30.2151,4.0,0
4.0,10.0267,32.4167,12.0,0
9.0,12.6966,71.7565,12.0,0
12.0,14.9777,168.364,4.0,0
11.0,11.0578,277.594,2.0,0
11.0,14.8084,593.696,2.0,0
8.0,0.0,443.366,3.0,0
12.0,12.0597,1421.1,3.0,0
12.0,12.8206,1397.24,2.0,0
8.0,12.3225,4.76244,3.0,0
7.0,10.2308,5.75999,3.0,0
6.0,10.0133,2.31417,4.0,0
6.0,10.0575,3.55169,1.0,0
12.0,10.703,4.70023,1.0,0
5.0,12.7858,2.53049,1.0,0
9.0,16.2104,20.5882,1.0,0
8.0,0.0,633.652,2.0,0
6.0,22.9947,2.1597,1.0,0
10.0,37.3432,2.71598,4.0,0
2.0,10.4232,2.65414,6.0,0
6.0,10.0089,3.0253,2.0,0
3.0,11.2124,3.70665,6.0,0
5.0,10.1484,6.22913,2.0,0
3.0,10.5238,9.9645,4.0,0
3.0,10.2896,9.13353,4.0,0
3.0,10.5492,11.2858,6.0,0
5.0,10.154,27.9224,4.0,0
4.0,10.0312,44.9647,6.0,0
4.0,10.221,49.0164,6.0,0
11.0,15.8246,456.225,2.0,0
9.0,0.0,443.763,2.0,0
10.0,0.0,566.775,2.0,0
10.0,11.1036,690.923,1.0,0
11.0,11.9161,833.964,1.0,0
9.0,10.3747,1010.15,2.0,0
11.0,10.919,1088.68,2.0,0
7.0,33.8348,3.45874,1.0,0
10.0,11.4409,37.177,2.0,0
6.0,29.471,2.71598,1.0,0
10.0,14.6167,3.58267,1.0,0
8.0,0.0,43.2676,1.0,0
12.0,10.4241,1442.79,2.0,0
7.0,0.0,114.578,3.0,0
12.0,0.0,152.444,3.0,0
12.0,10.935,161.608,1.0,0
12.0,14.0472,271.92,5.0,0
12.0,10.2347,353.912,3.0,0
12.0,11.4439,646.789,2.0,0
10.0,14.5981,13.0492,1.0,0
6.0,11.9154,6.95061,1.0,0
12.0,11.7927,51.7922,1.0,0
11.0,24.3739,21.6344,22.0,0
12.0,21.2539,25.6249,16.0,0
2.0,10.1513,5.51021,2.0,0
2.0,10.2381,7.2337,22.0,0
4.0,10.0254,14.6082,5.0,0
2.0,10.1213,14.8425,36.0,0
3.0,10.3167,15.4815,3.0,0
3.0,10.0174,17.46,16.0,0
3.0,10.3875,25.8552,16.0,0
4.0,10.0972,23.4725,3.0,0
3.0,10.1478,23.8456,30.0,0
3.0,10.0579,24.3335,32.0,0
5.0,10.0016,25.51,5.0,0
4.0,10.0703,28.3591,4.0,0
2.0,10.0953,33.9098,16.0,0
3.0,10.1434,34.0825,5.0,0
3.0,10.3089,34.7777,31.0,0
3.0,10.9031,35.9226,16.0,0
4.0,10.0379,43.9615,5.0,0
6.0,10.0242,46.5479,4.0,0
3.0,10.3797,50.7459,22.0,0
3.0,11.1762,61.662,21.0,0
3.0,11.429,78.3789,36.0,0
3.0,10.2562,83.0711,35.0,0
3.0,10.0871,82.3524,35.0,0
5.0,10.088,84.6058,35.0,0
4.0,10.3667,94.4283,22.0,0
2.0,10.4827,115.541,22.0,0
12.0,14.329,137.078,16.0,0
4.0,10.2199,136.199,16.0,0
4.0,10.0102,136.074,30.0,0
2.0,10.3514,137.582,30.0,0
3.0,10.0634,140.26,30.0,0
3.0,10.0441,149.0,30.0,0
5.0,14.4089,173.964,29.0,0
3.0,10.4124,166.992,28.0,0
3.0,12.0585,172.704,27.0,0
3.0,10.1951,175.71,28.0,0
4.0,10.0757,171.765,26.0,0
2.0,10.037,172.547,31.0,0
2.0,10.4638,183.032,27.0,0
3.0,10.1353,174.597,27.0,0
3.0,11.392,175.71,31.0,0
6.0,10.6252,175.87,25.0,0
3.0,10.3547,176.83,25.0,0
3.0,12.3707,192.381,31.0,0
5.0,10.1512,185.705,25.0,0
11.0,10.0003,195.54,16.0,0
6.0,10.1063,205.508,16.0,0
5.0,10.0124,213.45,16.0,0
4.0,10.0901,217.926,16.0,0
4.0,10.2378,217.926,31.0,0
4.0,11.4069,230.658,21.0,0
4.0,10.335,233.375,21.0,0
7.0,10.8844,401.849,31.0,0
8.0,14.2412,637.622,16.0,0
12.0,11.0297,504.674,16.0,0
12.0,13.2079,688.463,3.0,0
10.0,11.123,895.617,3.0,0
12.0,12.614,938.949,1.0,0
8.0,0.0,929.787,2.0,0
12.0,0.0,938.949,2.0,0
12.0,11.8335,1577.26,30.0,0
10.0,12.5151,20.3377,19.0,0
7.0,10.6262,6.44842,5.0,0
7.0,10.649,6.01007,6.0,0
4.0,10.1182,17.2876,19.0,0
3.0,10.202,39.7561,3.0,0
3.0,10.3421,112.045,12.0,0
